ksic_code,ksic_name,export_item,weight,mapping_quality,note
C261,반도체 제조업,반도체,1.0,높음,업종-품목 방향성이 비교적 직접적
C264,통신 및 방송 장비 제조업,무선통신기기,1.0,높음,업종-품목 방향성이 비교적 직접적
C282,일차전지 및 축전지 제조업,이차전지,1.0,높음,업종-품목 방향성이 비교적 직접적
C281,전동기·발전기·전기변환제어,전기기기,0.7,중간,전기기기 일부를 설명하는 분석용 매핑
C283,절연선 및 케이블 제조업,전기기기,0.3,중간,전기기기 일부를 설명하는 분석용 매핑
C301,자동차 엔진 및 완성차,자동차,1.0,높음,업종-품목 방향성이 비교적 직접적
C303,자동차 부품 제조업,자동차부품,1.0,높음,업종-품목 방향성이 비교적 직접적
C192,석유 정제품 제조업,석유제품,1.0,높음,업종-품목 방향성이 비교적 직접적
C201,기초 화학물질 제조업,석유화학,1.0,중간,석유화학 수출과 KSIC 범위가 완전히 동일하지 않음
C204,기타 화학제품 (화장품 등),화장품,1.0,중간,화장품 외 기타 화학제품이 포함됨
C241,1차 철강 제조업,철강,1.0,높음,업종-품목 방향성이 비교적 직접적
C242,1차 비철금속 제조업,비철금속,1.0,높음,업종-품목 방향성이 비교적 직접적
C292,특수 목적용 기계 제조업,일반기계,1.0,중간,일반기계 수출 범위보다 좁음
C211,기초 의약 물질 및 생물학 제제,바이오헬스,0.5,중간,바이오헬스는 의료기기 등을 포함할 수 있음
C212,의약품 제조업 (완제의약품),바이오헬스,0.5,중간,바이오헬스는 의료기기 등을 포함할 수 있음
